127.0.0.1, 2014-10-16 17:05:55, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.075934
127.0.0.1, 2014-10-16 17:05:55, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.061390
127.0.0.1, 2014-10-16 17:06:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.052245
127.0.0.1, 2014-10-16 17:06:07, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.059590
127.0.0.1, 2014-10-16 17:06:17, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.075540
127.0.0.1, 2014-10-16 17:06:20, GET, /Practical2/default/index, HTTP/1.1, 200, 0.059500
127.0.0.1, 2014-10-16 17:06:24, GET, /admin/default/design/Practical2, HTTP/1.1, 200, 0.583693
127.0.0.1, 2014-10-16 17:06:30, GET, /Practical2/appadmin/index, HTTP/1.1, 200, 0.125330
127.0.0.1, 2014-10-16 17:07:21, GET, /Practical2/appadmin/index, HTTP/1.1, 200, 0.129386
127.0.0.1, 2014-10-16 17:10:18, GET, /Practical2/appadmin/index, HTTP/1.1, 200, 0.146644
127.0.0.1, 2014-10-16 17:10:24, GET, /Practical2/appadmin/select/db, HTTP/1.1, 200, 0.184184
127.0.0.1, 2014-10-16 17:10:44, POST, /Practical2/appadmin/select/db, HTTP/1.1, 200, 0.237511
127.0.0.1, 2014-10-16 17:11:03, GET, /Practical2/appadmin/select/db, HTTP/1.1, 200, 0.282215
127.0.0.1, 2014-10-16 17:11:08, POST, /Practical2/appadmin/select/db, HTTP/1.1, 200, 1.004069
127.0.0.1, 2014-10-16 17:11:26, GET, /Practical2/appadmin/select/db, HTTP/1.1, 200, 0.147166
127.0.0.1, 2014-10-16 17:12:59, POST, /Practical2/appadmin/select/db, HTTP/1.1, 200, 0.227883
127.0.0.1, 2014-10-16 17:13:03, POST, /Practical2/appadmin/select/db, HTTP/1.1, 200, 0.184437
127.0.0.1, 2014-10-16 17:13:44, GET, /admin/default/design/Practical2, HTTP/1.1, 200, 0.645353
127.0.0.1, 2014-10-16 17:15:06, GET, /admin/default/edit/Practical2/controllers/default.py, HTTP/1.1, 200, 0.144455
127.0.0.1, 2014-10-16 17:15:07, GET, /admin/default/edit/Practical2/controllers/default.py, HTTP/1.1, 200, 0.157545
127.0.0.1, 2014-10-16 17:15:07, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.192451
127.0.0.1, 2014-10-16 17:15:07, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.430148
127.0.0.1, 2014-10-16 17:15:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.425416
127.0.0.1, 2014-10-16 17:15:07, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.171255
127.0.0.1, 2014-10-16 17:16:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.058079
127.0.0.1, 2014-10-16 17:16:41, POST, /admin/default/edit/Practical2/controllers/default.py, HTTP/1.1, 200, 0.072258
127.0.0.1, 2014-10-16 17:16:44, GET, /Practical2/default/index, HTTP/1.1, 500, 0.787784
127.0.0.1, 2014-10-16 17:16:50, GET, /admin/default/design/Practical2, HTTP/1.1, 200, 0.530997
127.0.0.1, 2014-10-16 17:17:07, GET, /admin/default/peek/Practical2/views/default/index.html, HTTP/1.1, 200, 0.111803
127.0.0.1, 2014-10-16 17:17:18, GET, /admin/default/edit/Practical2/views/default/index.html, HTTP/1.1, 200, 0.139730
127.0.0.1, 2014-10-16 17:17:19, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.162478
127.0.0.1, 2014-10-16 17:17:20, GET, /admin/default/edit/Practical2/views/default/index.html, HTTP/1.1, 200, 0.247240
127.0.0.1, 2014-10-16 17:17:20, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.457445
127.0.0.1, 2014-10-16 17:17:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.466022
127.0.0.1, 2014-10-16 17:17:20, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.159218
127.0.0.1, 2014-10-16 17:18:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062282
127.0.0.1, 2014-10-16 17:19:30, GET, /Practical2/default/index, HTTP/1.1, 500, 0.340161
127.0.0.1, 2014-10-16 17:19:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056588
127.0.0.1, 2014-10-16 17:19:32, GET, /Practical2/default/index, HTTP/1.1, 500, 0.278244
127.0.0.1, 2014-10-16 17:20:18, POST, /admin/default/edit/Practical2/views/default/index.html, HTTP/1.1, 200, 0.076337
127.0.0.1, 2014-10-16 17:20:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.058696
127.0.0.1, 2014-10-16 17:21:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 4.248255
127.0.0.1, 2014-10-16 17:22:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.136018
127.0.0.1, 2014-10-16 17:23:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055800
